 DDSCAT --- DDSCAT 7.0.7 [09.12.11]   
 TARGET ---Validation._Equivalent_to_cyl_avg_shp_25                           
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 FROM_FILE --- shape 
   2445 = NAT0 = number of dipoles
 diel.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000 180.000 = theta_min, theta_max; NTHETA= 5
   0.000 180.000 = phi_min, phi_max   ;   NPHI = 5
10.0000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over   25 target orientations
                   and  2 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
1.6736E-02 7.2000E-01 1.3044E-01 1.1438E-01 1.6265E-02 -3.7647E-03 1.0000E+00 1.9125E-03     2
1.6736E-02 7.2500E-01 1.7694E-01 1.6127E-01 1.6042E-02 -4.2191E-03 1.0000E+00 1.8656E-03     2
1.6736E-02 7.3000E-01 1.8169E-01 1.6570E-01 1.6384E-02 -4.5614E-03 1.0000E+00 1.9067E-03     2
1.6736E-02 7.3500E-01 1.2106E-01 1.0560E-01 1.5644E-02 -5.0210E-03 1.0000E+00 1.8449E-03     2
1.6736E-02 7.4000E-01 1.0627E-01 9.2553E-02 1.3874E-02 -5.6065E-03 1.0000E+00 1.6376E-03     2
1.6736E-02 7.4500E-01 1.6776E-01 1.5441E-01 1.3744E-02 -5.8390E-03 1.0000E+00 1.5929E-03     2
1.6736E-02 7.5000E-01 1.2698E-01 1.1333E-01 1.3871E-02 -5.5961E-03 1.0000E+00 1.6297E-03     2
1.6736E-02 7.5500E-01 1.0313E-01 9.0161E-02 1.3124E-02 -5.9634E-03 1.0000E+00 1.5483E-03     2
1.6736E-02 7.6000E-01 6.3082E-02 5.0813E-02 1.2333E-02 -6.1107E-03 1.0000E+00 1.4671E-03     2
1.6736E-02 7.6500E-01 4.5955E-02 3.4604E-02 1.1389E-02 -6.2943E-03 1.0000E+00 1.3577E-03     2
1.6736E-02 7.7000E-01 3.9788E-02 2.9220E-02 1.0599E-02 -6.8392E-03 1.0000E+00 1.2647E-03     2
1.6736E-02 7.7500E-01 3.6796E-02 2.6897E-02 9.9270E-03 -7.3473E-03 1.0000E+00 1.1852E-03     2
1.6736E-02 7.8000E-01 3.5609E-02 2.6336E-02 9.3011E-03 -7.6382E-03 1.0000E+00 1.1106E-03     2
1.6736E-02 7.8500E-01 4.2367E-02 3.3632E-02 8.7755E-03 -7.9489E-03 1.0000E+00 1.0463E-03     2
1.6736E-02 7.9000E-01 5.0126E-02 4.1727E-02 8.4579E-03 -8.3830E-03 1.0000E+00 1.0078E-03     2
1.6736E-02 7.9500E-01 4.5870E-02 3.7761E-02 8.1603E-03 -8.7440E-03 1.0000E+00 9.7217E-04     2
1.6736E-02 8.0000E-01 3.9175E-02 3.1449E-02 7.7654E-03 -8.9928E-03 1.0000E+00 9.2665E-04     2
1.6736E-02 8.0500E-01 4.2116E-02 3.4750E-02 7.4150E-03 -9.5029E-03 1.0000E+00 8.8401E-04     2
1.6736E-02 8.1000E-01 3.5455E-02 2.8370E-02 7.1209E-03 -1.0012E-02 1.0000E+00 8.5187E-04     2
1.6736E-02 8.1500E-01 3.0065E-02 2.3315E-02 6.7762E-03 -1.0832E-02 1.0000E+00 8.1103E-04     2
1.6736E-02 8.2000E-01 2.6644E-02 2.0216E-02 6.4498E-03 -1.1845E-02 1.0000E+00 7.7452E-04     2
1.6736E-02 8.2500E-01 2.4609E-02 1.8487E-02 6.1419E-03 -1.3313E-02 1.0000E+00 7.3748E-04     2
1.6736E-02 8.3000E-01 2.5140E-02 1.9325E-02 5.8368E-03 -1.3420E-02 1.0000E+00 7.0063E-04     2
1.6736E-02 8.3500E-01 2.7512E-02 2.1977E-02 5.5622E-03 -8.2949E-03 1.0000E+00 6.6291E-04     2
1.6736E-02 8.4000E-01 2.7012E-02 2.1691E-02 5.3486E-03 -5.6507E-03 1.0000E+00 6.3643E-04     2
1.6736E-02 8.4500E-01 2.3130E-02 1.8044E-02 5.1061E-03 -7.0157E-03 1.0000E+00 6.0908E-04     2
1.6736E-02 8.5000E-01 2.3812E-02 1.8948E-02 4.8873E-03 -8.4591E-03 1.0000E+00 5.8286E-04     2
1.6736E-02 8.5500E-01 2.6011E-02 2.1403E-02 4.6363E-03 -9.5155E-03 1.0000E+00 5.5817E-04     2
1.6736E-02 8.6000E-01 3.3697E-02 2.9178E-02 4.5687E-03 -9.6404E-03 1.0000E+00 5.4263E-04     2
1.6736E-02 8.6500E-01 2.5331E-02 2.0917E-02 4.4419E-03 -8.7522E-03 1.0000E+00 5.2958E-04     2
1.6736E-02 8.7000E-01 1.8623E-02 1.4402E-02 4.2371E-03 -9.6903E-03 1.0000E+00 5.0709E-04     2
1.6736E-02 8.7500E-01 1.6873E-02 1.2869E-02 4.0181E-03 -1.0728E-02 1.0000E+00 4.8534E-04     2
1.6736E-02 8.8000E-01 1.6001E-02 1.2114E-02 3.9007E-03 -1.1682E-02 1.0000E+00 4.6632E-04     2
1.6736E-02 8.8500E-01 1.5440E-02 1.1707E-02 3.7458E-03 -1.2687E-02 1.0000E+00 4.4825E-04     2
1.6736E-02 8.9000E-01 1.5195E-02 1.1612E-02 3.5954E-03 -1.4079E-02 1.0000E+00 4.3153E-04     2
1.6736E-02 8.9500E-01 1.5785E-02 1.2513E-02 3.2897E-03 -1.5335E-02 1.0000E+00 4.1573E-04     2
1.6736E-02 9.0000E-01 1.8618E-02 1.5332E-02 3.3104E-03 -1.5540E-02 1.0000E+00 4.0021E-04     2
